Date,MinTemp,MaxTemp,Precipitation,Sunshine,MaxWindDir,MaxWindSpeed,MaxWindTime,9amTemp,9amHumidity,9amCloud,9amWindDir,9amWindSpeed,3pmTemp,3pmHumidity,3pmCloud,3pmWindDir,3pmWindSpeed,WeatherType
2023-10-21,18.8,22.1,0.0,2.6,SW,44.0,17:37,20.0,53,7,SW,20,19.7,52,7.0,SSW,15,Cloudy
2023-10-22,11.6,15.5,0.2,0.7,NW,48.0,09:26,14.0,68,7,NW,13,15.2,66,7.0,W,15,Windy
2023-10-23,10.6,18.1,2.4,3.2,WSW,33.0,02:09,12.3,68,7,WSW,11,15.7,64,7.0,SSW,13,Windy
2023-10-24,12.3,25.3,0.0,7.8,N,57.0,07:38,17.6,49,7,N,28,24.8,29,7.0,NNW,20,Sunny
2023-10-26,7.3,15.1,8.2,7.5,S,43.0,08:26,10.5,82,7,SSW,7,14.1,58,7.0,S,20,Windy
2023-10-28,9.5,23.3,0.0,7.1,N,57.0,07:02,15.4,52,6,N,22,20.3,43,7.0,N,24,Sunny
2023-10-30,12.4,23.2,0.0,8.0,N,46.0,13:21,16.5,53,2,W,7,21.5,35,5.0,NW,26,Sunny
2023-11-4,11.2,20.9,0.0,8.4,SE,39.0,20:28,13.1,65,8,SSE,13,17.0,72,2.0,SSW,17,Windy
2023-11-5,9.3,23.9,0.0,11.9,SSE,30.0,17:27,14.6,72,2,WNW,6,20.6,55,1.0,SSW,13,Sunny
2023-11-6,12.6,29.8,0.0,10.8,NNW,33.0,11:50,19.1,58,5,N,9,29.1,32,7.0,NNW,20,Sunny
2023-11-7,15.5,30.6,0.0,10.3,N,43.0,10:47,22.6,54,1,SE,6,29.9,31,2.0,N,24,Sunny
2023-11-10,13.7,33.1,0.0,12.8,N,35.0,13:33,20.5,70,2,NE,6,30.0,35,4.0,SSW,7,Sunny
2023-11-13,11.8,20.6,0.4,10.1,SSW,31.0,16:56,14.2,64,6,SSW,11,18.1,47,0.0,SSW,9,Windy
2023-11-14,12.7,16.8,0.6,0.9,SSW,24.0,00:30,12.8,80,8,WSW,7,15.9,65,7.0,S,13,Cloudy
2023-11-23,15.2,26.5,0.0,7.0,SE,30.0,17:54,16.9,73,7,ESE,9,22.1,65,7.0,SSW,11,Sunny
2023-11-26,15.1,19.8,3.8,1.9,S,30.0,18:26,15.3,100,7,SW,9,19.1,73,7.0,SSW,11,Rainy
2023-11-27,13.7,18.5,7.2,0.5,S,30.0,12:08,14.1,100,8,SSW,9,17.4,69,7.0,SSW,13,Rainy
2023-11-29,14.4,19.1,2.8,0.0,SE,57.0,15:23,16.8,96,8,SE,20,17.7,87,8.0,SE,20,Rainy
2023-11-30,14.4,18.8,6.8,0.0,SE,43.0,10:25,16.5,76,8,SSE,15,17.8,67,8.0,SSE,15,Rainy
2023-12-2,15.5,16.7,2.8,0.0,S,33.0,09:53,15.7,100,8,S,9,16.0,98,8.0,S,13,Rainy
2023-12-4,13.1,32.6,0.0,12.9,NW,35.0,12:23,19.6,69,4,NNE,9,30.5,29,6.0,N,20,Sunny
2023-12-5,15.6,24.5,0.0,12.3,SSW,35.0,16:34,19.2,71,3,SSW,7,21.5,62,4.0,SSW,17,Sunny
2023-12-6,15.0,22.7,0.0,11.1,SSW,30.0,17:05,18.8,60,6,S,11,21.0,53,3.0,SSW,11,Sunny
2023-12-9,16.9,17.9,2.6,0.0,SE,30.0,18:09,17.1,89,8,W,2,16.2,100,8.0,S,11,Rainy
2023-12-10,14.4,19.5,11.8,0.0,SSE,39.0,01:40,16.2,81,8,S,9,18.9,77,8.0,SSW,9,Rainy
2023-12-11,16.1,20.2,0.4,0.0,S,28.0,04:28,17.9,100,8,S,7,18.6,100,8.0,S,7,Cloudy
2023-12-15,14.4,23.4,0.0,10.9,S,30.0,17:20,17.4,63,4,NW,7,21.5,42,7.0,S,9,Sunny
2023-12-16,13.4,22.7,0.0,6.9,NNW,31.0,07:56,15.8,56,7,NW,17,22.6,35,7.0,W,9,Sunny
2023-12-17,12.2,25.2,0.0,12.9,SSW,28.0,14:08,17.8,60,1,SSE,6,21.5,48,1.0,SSW,11,Sunny
2023-12-18,15.9,26.2,0.0,0.3,SW,31.0,19:25,21.1,58,7,NNE,7,24.7,42,7.0,NNE,7,Cloudy
2023-12-21,14.9,25.7,0.0,10.4,SE,44.0,17:40,19.6,60,2,ESE,13,24.0,43,5.0,SE,17,Sunny
2023-12-22,14.3,24.4,0.0,13.2,SSE,39.0,17:28,19.4,44,4,ESE,11,22.8,44,5.0,SSW,13,Sunny
2023-12-23,12.6,22.8,0.0,13.0,SSW,37.0,15:54,16.7,61,1,E,4,21.5,55,2.0,S,20,Sunny
2024-01-1,12.6,23.2,0.0,11.4,SSW,31.0,14:35,17.6,65,7,SW,4,22.5,60,7.0,SSW,13,Sunny
2024-01-6,16.7,32.6,0.0,9.4,N,35.0,09:33,21.7,68,6,ENE,2,31.7,36,7.0,NNW,7,Sunny
2024-01-7,21.4,27.2,0.0,0.2,NNE,43.0,09:21,26.1,50,7,N,15,20.5,95,8.0,NNE,11,Cloudy
2024-01-11,17.5,23.1,0.0,10.0,S,41.0,14:44,19.2,63,7,SSE,7,22.3,65,4.0,SSW,19,Sunny
2024-01-12,16.3,33.4,0.0,12.5,NNW,31.0,11:32,20.6,74,1,N,9,27.8,60,6.0,SSW,13,Sunny
2024-01-13,19.1,21.7,0.0,0.5,S,31.0,16:22,20.7,73,8,SSE,9,18.7,82,8.0,S,11,Cloudy
2024-01-15,17.2,30.2,0.0,10.1,SSW,31.0,14:50,21.5,68,5,NNW,6,28.1,47,2.0,S,13,Sunny
2024-01-16,20.6,31.9,0.0,12.5,N,44.0,10:21,24.2,50,1,N,17,30.1,44,1.0,N,20,Sunny
2024-01-20,14.1,28.7,0.0,2.7,N,43.0,17:47,15.8,82,7,NNE,11,26.3,41,7.0,N,17,Cloudy
2024-01-23,12.8,31.7,0.0,12.6,N,28.0,16:28,16.4,75,7,NNE,7,29.8,32,4.0,N,11,Sunny
2024-01-25,17.4,23.8,0.0,0.6,NNW,24.0,15:36,19.1,72,7,NA,0,23.4,50,7.0,NNW,9,Cloudy
2024-01-27,12.1,24.7,0.0,10.1,S,37.0,15:43,16.4,63,1,NW,9,24.0,38,4.0,SW,13,Sunny
2024-01-28,15.5,26.3,0.0,11.2,S,24.0,14:42,18.6,68,7,WSW,9,24.2,52,3.0,SSE,9,Sunny
2024-01-29,16.9,27.2,0.0,11.7,SSW,41.0,18:11,20.6,77,1,N,6,24.0,66,1.0,SSW,17,Sunny
2024-01-30,18.1,23.3,0.0,10.7,SSW,41.0,15:49,19.0,70,7,SSE,13,21.5,65,1.0,SSW,15,Sunny
2024-02-1,15.3,24.3,0.0,11.1,S,35.0,14:25,18.3,68,7,W,9,23.7,55,1.0,SSW,13,Sunny
2024-02-3,12.1,33.4,0.0,13.0,SSW,30.0,16:46,17.0,65,0,NNE,11,29.9,28,0.0,SSW,9,Sunny
2024-02-4,15.2,37.5,0.0,12.6,N,50.0,13:15,19.5,68,1,NNE,9,35.6,22,1.0,NNW,24,Sunny
2024-02-5,19.5,19.9,0.0,0.0,S,35.0,06:40,19.6,78,7,SSW,9,18.4,64,7.0,S,13,Cloudy
2024-02-8,14.6,22.4,0.0,10.9,SSW,31.0,15:16,16.9,71,7,SE,13,21.4,59,1.0,SSW,13,Sunny
2024-02-10,15.1,26.7,0.0,9.6,SE,33.0,01:20,17.1,67,7,SSE,9,25.6,46,1.0,WSW,7,Sunny
2024-02-11,17.1,33.2,0.0,12.2,NNW,50.0,17:25,23.5,54,0,N,20,31.3,38,1.0,N,20,Sunny
2024-02-12,18.7,35.8,0.0,12.2,NNW,50.0,13:26,25.2,53,0,NE,7,35.4,29,3.0,NNW,22,Sunny
2024-02-13,20.0,36.7,0.0,9.0,N,54.0,09:58,29.3,41,1,N,24,32.9,39,6.0,N,19,Sunny
2024-02-16,12.8,22.9,0.0,8.6,SSW,35.0,16:58,15.7,72,8,NNE,7,21.5,59,7.0,SSW,15,Sunny
2024-02-17,14.1,23.1,0.0,7.6,SSW,31.0,15:44,17.3,81,8,NNE,4,22.1,59,7.0,SSW,15,Sunny
2024-02-19,17.4,22.2,0.0,9.5,SSW,33.0,15:57,18.2,65,7,SSE,9,21.4,61,1.0,SSW,13,Sunny
2024-02-20,16.2,29.2,0.0,8.9,SSW,28.0,16:47,19.8,71,7,NA,0,27.2,56,5.0,S,11,Sunny
2024-02-21,19.3,33.9,0.0,10.8,N,41.0,11:15,24.7,52,4,NNE,9,33.3,31,2.0,NNE,20,Sunny
2024-02-22,21.5,35.9,0.0,8.0,N,57.0,13:34,27.2,45,7,N,22,35.7,32,2.0,N,24,Sunny
2024-02-25,11.7,30.9,0.0,9.5,S,41.0,19:31,17.5,68,4,N,11,30.6,27,7.0,SSW,9,Sunny
2024-03-1,14.4,28.1,0.0,11.0,SSW,37.0,16:13,18.0,72,3,NE,2,26.5,49,3.0,SSW,9,Sunny
2024-03-5,11.8,32.1,0.0,11.3,N,31.0,09:40,14.3,78,1,NE,9,30.2,26,1.0,N,13,Sunny
2024-03-6,14.3,25.1,0.0,8.1,S,33.0,15:01,19.1,56,5,NA,0,23.8,54,4.0,SSW,17,Sunny
2024-03-8,14.2,26.0,0.0,9.8,SSW,26.0,15:08,17.7,75,7,N,6,23.6,58,1.0,SSW,13,Sunny
2024-03-9,16.9,37.6,0.0,11.4,N,57.0,09:15,21.2,73,0,NNE,6,35.9,29,3.0,N,24,Sunny
2024-03-10,21.2,36.9,0.0,11.1,N,39.0,09:01,28.4,35,1,N,19,36.2,26,2.0,NNW,19,Sunny
2024-03-11,20.5,35.1,0.0,9.2,NNW,44.0,14:46,23.6,55,7,NNE,9,33.6,27,6.0,N,22,Sunny
2024-03-12,22.8,23.1,0.0,0.3,SSW,35.0,10:35,22.9,71,7,SSW,15,20.4,74,8.0,SSW,11,Cloudy
2024-03-15,15.7,27.8,0.0,10.0,SSE,30.0,17:29,18.5,76,3,E,2,26.9,41,1.0,SSW,6,Sunny
2024-03-16,14.4,29.6,0.0,10.9,S,26.0,14:54,17.1,77,0,NNE,7,29.0,30,1.0,ENE,9,Sunny
2024-03-17,17.1,30.2,0.0,10.6,SSE,33.0,17:16,20.6,60,5,N,11,27.4,39,4.0,S,11,Sunny
2024-03-18,16.3,31.9,0.0,11.0,NNW,26.0,10:33,19.9,64,1,ENE,6,29.5,33,4.0,NE,9,Sunny
