Date,MinTemp,MaxTemp,Precipitation,Sunshine,MaxWindDir,MaxWindSpeed,MaxWindTime,9amTemp,9amHumidity,9amCloud,9amWindDir,9amWindSpeed,3pmTemp,3pmHumidity,3pmCloud,3pmWindDir,3pmWindSpeed,WeatherType
2024-09-23,11.1,18.3,0.2,4.8,NW,31.0,11:36,15.2,62,6,N,15,18.0,54,7.0,NW,11,Windy
2024-09-24,10.4,25.3,0.0,2.4,N,39.0,12:35,16.9,60,7,N,17,23.3,37,7.0,SW,9,Windy
2024-09-26,9.0,13.8,7.8,2.2,S,39.0,06:10,12.1,57,7,S,15,12.3,58,7.0,S,17,Rainy
2024-09-28,6.8,22.0,0.0,9.0,N,44.0,10:13,15.7,52,5,N,19,21.7,37,7.0,NNE,20,Sunny
2024-09-29,15.6,17.3,0.0,1.0,N,54.0,08:31,15.6,59,7,NNW,24,15.3,81,7.0,N,13,Cloudy
2024-10-3,8.0,26.1,0.0,11.3,N,39.0,09:40,17.1,65,2,NNE,7,25.8,34,2.0,N,15,Sunny
2024-10-5,11.9,20.1,0.2,6.1,NNW,44.0,11:41,17.3,56,7,NNW,15,15.1,88,8.0,WSW,2,Windy
2024-10-7,14.2,18.0,0.2,0.2,SW,44.0,12:53,15.6,64,7,NNW,17,14.4,78,7.0,S,11,Cloudy
2024-10-10,10.3,20.0,0.0,10.6,N,50.0,07:02,15.3,58,6,N,20,17.5,49,1.0,S,15,Windy
2024-10-13,7.2,24.3,0.0,10.2,N,48.0,09:23,15.8,52,5,N,15,23.0,32,7.0,N,24,Sunny
2024-10-15,10.4,26.9,0.0,8.1,NE,28.0,12:15,14.6,77,3,NNW,2,25.8,38,7.0,NE,9,Sunny
2024-10-21,9.8,27.8,0.0,11.5,E,22.0,14:59,14.0,79,4,NNE,9,25.2,45,1.0,SSW,6,Sunny
2024-10-22,13.9,30.6,0.0,8.3,S,44.0,15:27,22.0,48,7,N,22,29.7,32,6.0,N,20,Sunny
2024-10-24,10.4,16.9,0.0,11.5,S,35.0,12:59,13.4,59,5,WSW,11,15.5,49,7.0,S,17,Windy
2024-10-27,11.5,25.7,0.0,6.5,NNW,39.0,09:00,18.9,35,7,N,17,25.4,31,5.0,SSW,7,Windy
